wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Fe0.3GeMnNi0.7	Fe;Ge;Mn;Ni;	0.3;1;1;0.7;	211 K;
Fe0.4GaMn1.6Ni	Fe;Ga;Mn;Ni;	0.4;1;1.6;1;	425 K;
Fe0.4GeMnNi0.6	Fe;Ge;Mn;Ni;	0.4;1;1;0.6;	218 K;
Fe0.5GaMn1.5Ni	Fe;Ga;Mn;Ni;	0.5;1;1.5;1;	383 K;
Fe0.5GeMnNi0.5	Fe;Ge;Mn;Ni;	0.5;1;1;0.5;	220 K;
Fe0.5Ni0.5	Fe;Ni;	0.5;0.5;	900 K;499 K;815 K;686 K;520 K;550 K;375 K;863 K;368 K;865 K;508 K;500 K;750 K;
Fe0.5Pd0.5	Fe;Pd;	0.5;0.5;	35 K;20 K;533 K;50 K;9.6 K;623 K;150 K;1.95 K;10 K;760 K;55.6 K;30 K;2.5 K;5 K;
Fe0.5Pt0.5	Fe;Pt;	0.5;0.5;	409 K;170 K;441 K;359 K;382 K;
Fe0.6GaMn1.4Ni	Fe;Ga;Mn;Ni;	0.6;1;1.4;1;	352 K;
Fe0.6Mn0.4O3Y	Fe;Mn;O;Y;	0.6;0.4;3;1;	385 K;
Fe0.85Ge0.15	Fe;Ge;	0.85;0.15;	800 K;
Fe0.86Se	Fe;Se;	0.86;1;	443 K;
Fe0.89Se	Fe;Se;	0.89;1;	320 K;
Fe0.95MnP0.67Si0.33	Fe;Mn;P;Si;	0.95;1;0.67;0.33;	130 K;
Fe0.9Ti0.1	Fe;Ti;	0.9;0.1;	1033 K;
Fe1.2LaNi3.8	Fe;La;Ni;	1.2;1;3.8;	250 K;
Fe1.333PRh0.666	Fe;P;Rh;	1.333;1;0.666;	360 K;230 K;290 K;
Fe1.35LaNi3.65	Fe;La;Ni;	1.35;1;3.65;	275 K;
Fe1.4LaNi3.6	Fe;La;Ni;	1.4;1;3.6;	277 K;
Fe1.4Mn1.6P0.7Si0.3	Fe;Mn;P;Si;	1.4;1.6;0.7;0.3;	71 K;
Fe1.5Mn1.5P0.2Si0.8	Fe;Mn;P;Si;	1.5;1.5;0.2;0.8;	135 K;
Fe1.5Mn1.5P0.5Si0.5	Fe;Mn;P;Si;	1.5;1.5;0.5;0.5;	95 K;95 K;
Fe1.5Mn1.5P0.7Si0.3	Fe;Mn;P;Si;	1.5;1.5;0.7;0.3;	75 K;
Fe1.5Mn1.5Sb0.15Sn0.85	Fe;Mn;Sb;Sn;	1.5;1.5;0.15;0.85;	405 K;
Fe1.5Mn1.5Sb0.1Sn0.9	Fe;Mn;Sb;Sn;	1.5;1.5;0.1;0.9;	405 K;
Fe1.5Mn1.5Si	Fe;Mn;Si;	1.5;1.5;1;	137 K;137 K;
Fe1.5ScSi0.5	Fe;Sc;Si;	1.5;1;0.5;	145 K;
Fe1.6Ge	Fe;Ge;	1.6;1;	373 K;481 K;
Fe1.6Mn1.4P0.5Si0.5	Fe;Mn;P;Si;	1.6;1.4;0.5;0.5;	85 K;85 K;
Fe1.7484ScSi0.1116	Fe;Sc;Si;	1.7484;1;0.1116;	570 K;
Fe1.75Ge	Fe;Ge;	1.75;1;	510 K;510 K;
Fe1.7Mn1.3P0.5Si0.5	Fe;Mn;P;Si;	1.7;1.3;0.5;0.5;	97 K;97 K;
Fe1.7Mn1.3P0.7Si0.3	Fe;Mn;P;Si;	1.7;1.3;0.7;0.3;	88 K;
Fe1.7Mn1.4P0.7Si0.3	Fe;Mn;P;Si;	1.7;1.4;0.7;0.3;	84 K;
Fe1.8GdTi0.2	Fe;Gd;Ti;	1.8;1;0.2;	750 K;
Fe1.8Mn1.2P0.4Si0.6	Fe;Mn;P;Si;	1.8;1.2;0.4;0.6;	102 K;
Fe1.8Mn1.2P0.5Si0.5	Fe;Mn;P;Si;	1.8;1.2;0.5;0.5;	108 K;
Fe1.8Mn1.2P0.6Si0.4	Fe;Mn;P;Si;	1.8;1.2;0.6;0.4;	103 K;
Fe1.8Ti0.2Y	Fe;Ti;Y;	1.8;0.2;1;	490 K;
Fe1.92Sc	Fe;Sc;	1.92;1;	620 K;
Fe1.94Sc	Fe;Sc;	1.94;1;	640 K;
Fe1.97Sc	Fe;Sc;	1.97;1;	635 K;
Fe1.9Mn0.65O4Ti0.1Zn0.35	Fe;Mn;O;Ti;Zn;	1.9;0.65;4;0.1;0.35;	430 K;
Fe1.9Mn0.8O4Ti0.1Zn0.2	Fe;Mn;O;Ti;Zn;	1.9;0.8;4;0.1;0.2;	485 K;
Fe1.9Mn1.1P0.4Si0.6	Fe;Mn;P;Si;	1.9;1.1;0.4;0.6;	111 K;
Fe1.9Mn1.1P0.5Si0.5	Fe;Mn;P;Si;	1.9;1.1;0.5;0.5;	125 K;
Fe1.9Mn1.1P0.6Si0.4	Fe;Mn;P;Si;	1.9;1.1;0.6;0.4;	127 K;
Fe10.5GdW1.5	Fe;Gd;W;	10.5;1;1.5;	550 K;
Fe10.5Mo1.5Pr	Fe;Mo;Pr;	10.5;1.5;1;	455 K;
Fe10.5SmW1.5	Fe;Sm;W;	10.5;1;1.5;	520 K;
Fe10.5W1.5Y	Fe;W;Y;	10.5;1.5;1;	500 K;
Fe10.6LaN1.2Si2.4	Fe;La;N;Si;	10.6;1;1.2;2.4;	314 K;
Fe10.6LaSi2.4	Fe;La;Si;	10.6;1;2.4;	262 K;
Fe10.75Mo1.25Nd	Fe;Mo;Nd;	10.75;1.25;1;	470 K;
Fe10.7Ti1.3Y	Fe;Ti;Y;	10.7;1.3;1;	533 K;
Fe10.8GdRe1.2	Fe;Gd;Re;	10.8;1;1.2;	518 K;
Fe10.8HoRe1.2	Fe;Ho;Re;	10.8;1;1.2;	448 K;
Fe10.8Re1.2Tb	Fe;Re;Tb;	10.8;1.2;1;	475 K;475 K;
Fe10.8Re1.2Y	Fe;Re;Y;	10.8;1.2;1;	460 K;460 K;
Fe10.8Ti1.2Y	Fe;Ti;Y;	10.8;1.2;1;	536 K;
Fe10.9Ti1.1Y	Fe;Ti;Y;	10.9;1.1;1;	538 K;
Fe10Ga7Gd2	Fe;Ga;Gd;	10;7;2;	407 K;
Fe10Ga7Y2	Fe;Ga;Y;	10;7;2;	347 K;
Fe10GdMo2	Fe;Gd;Mo;	10;1;2;	400 K;
Fe10GdRe2	Fe;Gd;Re;	10;1;2;	470 K;
Fe10GdSi2	Fe;Gd;Si;	10;1;2;	623 K;613 K;
Fe10GdV2	Fe;Gd;V;	10;1;2;	597.5 K;616 K;
Fe10HoMo2	Fe;Ho;Mo;	10;1;2;	330 K;345 K;
Fe10HoRe2	Fe;Ho;Re;	10;1;2;	388 K;
Fe10HoSi2	Fe;Ho;Si;	10;1;2;	558 K;
Fe10HoV2	Fe;Ho;V;	10;1;2;	525 K;
Fe10LuMo2	Fe;Lu;Mo;	10;1;2;	260 K;
Fe10LuRe2	Fe;Lu;Re;	10;1;2;	380 K;
Fe10LuSi2	Fe;Lu;Si;	10;1;2;	540 K;540 K;
Fe10LuV2	Fe;Lu;V;	10;1;2;	483 K;488 K;
Fe10Mo2Nd	Fe;Mo;Nd;	10;2;1;	420 K;400 K;
Fe10Mo2Pr	Fe;Mo;Pr;	10;2;1;	391 K;
Fe10Mo2Sm	Fe;Mo;Sm;	10;2;1;	460 K;485 K;
Fe10Mo2Tb	Fe;Mo;Tb;	10;2;1;	390 K;
Fe10Mo2Tm	Fe;Mo;Tm;	10;2;1;	290 K;
Fe10Mo2U	Fe;Mo;U;	10;2;1;	198 K;250 K;850 K;
Fe10Mo2Y	Fe;Mo;Y;	10;2;1;	350 K;345 K;340 K;350 K;
Fe10Mo2Y1.1	Fe;Mo;Y;	10;2;1.1;	360 K;
Fe10NdRe2	Fe;Nd;Re;	10;1;2;	428 K;
Fe10NdSi2	Fe;Nd;Si;	10;1;2;	574 K;
Fe10NdV2	Fe;Nd;V;	10;1;2;	570 K;583 K;
Fe10PrRe2	Fe;Pr;Re;	10;1;2;	397 K;
Fe10Re2Sm	Fe;Re;Sm;	10;2;1;	475 K;
Fe10Re2Tb	Fe;Re;Tb;	10;2;1;	438 K;
Fe10Re2Tm	Fe;Re;Tm;	10;2;1;	380 K;
Fe10Re2U	Fe;Re;U;	10;2;1;	340 K;340 K;
Fe10Re2Y	Fe;Re;Y;	10;2;1;	370 K;
Fe10ScSi2	Fe;Sc;Si;	10;1;2;	506 K;560 K;
Fe10Si2Sm	Fe;Si;Sm;	10;2;1;	606 K;
Fe10Si2Tb	Fe;Si;Tb;	10;2;1;	587 K;
Fe10Si2Tm	Fe;Si;Tm;	10;2;1;	545 K;
Fe10Si2U	Fe;Si;U;	10;2;1;	650 K;650 K;653 K;700 K;653 K;653 K;
Fe10Si2Y	Fe;Si;Y;	10;2;1;	535 K;554 K;540 K;
Fe10SmV2	Fe;Sm;V;	10;1;2;	610 K;
Fe10TbV2	Fe;Tb;V;	10;1;2;	570 K;
Fe10Ti2Y	Fe;Ti;Y;	10;2;1;	498 K;
Fe10TmV2	Fe;Tm;V;	10;1;2;	496 K;
Fe10V2Y	Fe;V;Y;	10;2;1;	547 K;532 K;528 K;532 K;
Fe10W2Y	Fe;W;Y;	10;2;1;	500 K;
Fe11.15Ti0.85Y	Fe;Ti;Y;	11.15;0.85;1;	537 K;
Fe11.2LaSi1.8	Fe;La;Si;	11.2;1;1.8;	231 K;
Fe11.4LaSi1.6	Fe;La;Si;	11.4;1;1.6;	222 K;
Fe11.57LaSi1.43	Fe;La;Si;	11.57;1;1.43;	210 K;
Fe11.5LaN1.6Si1.5	Fe;La;N;Si;	11.5;1;1.6;1.5;	273 K;
Fe11.5LaSi1.5	Fe;La;Si;	11.5;1;1.5;	193 K;
Fe11.5Si1.5Y	Fe;Si;Y;	11.5;1.5;1;	198 K;
Fe11.8LaSi1.2	Fe;La;Si;	11.8;1;1.2;	195 K;
Fe11Ga3Pr6	Fe;Ga;Pr;	11;3;6;	320 K;
Fe11Ga6Gd2	Fe;Ga;Gd;	11;6;2;	470 K;
Fe11Ga6Y2	Fe;Ga;Y;	11;6;2;	400 K;
Fe11GdTi	Fe;Gd;Ti;	11;1;1;	608 K;607 K;
Fe11GdV	Fe;Gd;V;	11;1;1;	682.5 K;
Fe11HoNTi	Fe;Ho;N;Ti;	11;1;1;1;	737 K;
Fe11HoTi	Fe;Ho;Ti;	11;1;1;	520 K;519 K;
Fe11LaN1.2Si2	Fe;La;N;Si;	11;1;1.2;2;	317 K;
Fe11LaSi2	Fe;La;Si;	11;1;2;	257 K;
Fe11LuNTi	Fe;Lu;N;Ti;	11;1;1;1;	655 K;
Fe11LuTi	Fe;Lu;Ti;	11;1;1;	488 K;488 K;
Fe11LuV	Fe;Lu;V;	11;1;1;	579 K;
Fe11MoY	Fe;Mo;Y;	11;1;1;	469 K;
Fe11NSmTi	Fe;N;Sm;Ti;	11;1;1;1;	748 K;
Fe11NTbTi	Fe;N;Tb;Ti;	11;1;1;1;	754 K;
Fe11NTiTm	Fe;N;Ti;Tm;	11;1;1;1;	718 K;
Fe11NdTi	Fe;Nd;Ti;	11;1;1;	546 K;547 K;547 K;
Fe11S12	Fe;S;	11;12;	483 K;
Fe11SmTi	Fe;Sm;Ti;	11;1;1;	585 K;584 K;584 K;
Fe11TbTi	Fe;Tb;Ti;	11;1;1;	554 K;554 K;
Fe11TiTm	Fe;Ti;Tm;	11;1;1;	496 K;496 K;
Fe11TiY	Fe;Ti;Y;	11;1;1;	563 K;524 K;524 K;535 K;
Fe12.5Si4.5U2	Fe;Si;U;	12.5;4.5;2;	430 K;
Fe12Ga5Gd2	Fe;Ga;Gd;	12;5;2;	543 K;
Fe12Ga5Y2	Fe;Ga;Y;	12;5;2;	494 K;
Fe12Gd	Fe;Gd;	12;1;	768 K;
Fe12LaSi	Fe;La;Si;	12;1;1;	195 K;
Fe12Lu	Fe;Lu;	12;1;	670 K;
Fe13.6Lu2Si3.4	Fe;Lu;Si;	13.6;2;3.4;	485 K;
Fe13.6Si3.4U2	Fe;Si;U;	13.6;3.4;2;	540 K;530 K;
Fe13.7Si3.3U2	Fe;Si;U;	13.7;3.3;2;	525 K;
Fe13Ga4Gd2	Fe;Ga;Gd;	13;4;2;	601 K;
Fe13Ga4Y2	Fe;Ga;Y;	13;4;2;	541 K;
Fe13InNd6	Fe;In;Nd;	13;1;6;	330 K;
Fe13InPr6	Fe;In;Pr;	13;1;6;	290 K;
Fe13Nd6Pb	Fe;Nd;Pb;	13;6;1;	330 K;
Fe13Nd6Sb	Fe;Nd;Sb;	13;6;1;	550 K;
Fe13Nd6Sn	Fe;Nd;Sn;	13;6;1;	510 K;
Fe13Nd6Tl	Fe;Nd;Tl;	13;6;1;	330 K;
Fe13PbPr6	Fe;Pb;Pr;	13;1;6;	420 K;
Fe13Pr6Sb	Fe;Pr;Sb;	13;6;1;	450 K;
Fe13Pr6Sn	Fe;Pr;Sn;	13;6;1;	250 K;
Fe13Pr6Tl	Fe;Pr;Tl;	13;6;1;	280 K;
Fe13Sm6Tl	Fe;Sm;Tl;	13;6;1;	380 K;
Fe14Ga3Gd2	Fe;Ga;Gd;	14;3;2;	616 K;
Fe14Ga3Y2	Fe;Ga;Y;	14;3;2;	538 K;
Fe14Lu2Si3	Fe;Lu;Si;	14;2;3;	475 K;
Fe14Si3Y2	Fe;Si;Y;	14;3;2;	483 K;
Fe15.5Mn1.5Tm2	Fe;Mn;Tm;	15.5;1.5;2;	305.4 K;
Fe15.5Ru0.5SiY2	Fe;Ru;Si;Y;	15.5;0.5;1;2;	370 K;
Fe15Ga2Gd2	Fe;Ga;Gd;	15;2;2;	585 K;
Fe15Ga2Nd2	Fe;Ga;Nd;	15;2;2;	520 K;
Fe15Ga2Sm2	Fe;Ga;Sm;	15;2;2;	540 K;
Fe15Ga2Y2	Fe;Ga;Y;	15;2;2;	488 K;501 K;460 K;488 K;
Fe15Ge2Lu2	Fe;Ge;Lu;	15;2;2;	455 K;
Fe15Ge2U2	Fe;Ge;U;	15;2;2;	540 K;505 K;540 K;
Fe15NSi2Y2	Fe;N;Si;Y;	15;1;2;2;	569 K;
Fe15RuSiY2	Fe;Ru;Si;Y;	15;1;1;2;	315 K;
Fe15Si2Y2	Fe;Si;Y;	15;2;2;	450 K;
Fe16.5Mn0.5Tm2	Fe;Mn;Tm;	16.5;0.5;2;	305.1 K;
Fe16.75Ru0.25Y2	Fe;Ru;Y;	16.75;0.25;2;	200 K;
Fe16.8Mn0.2Tm2	Fe;Mn;Tm;	16.8;0.2;2;	290.1 K;
Fe16GaGd2	Fe;Ga;Gd;	16;1;2;	562 K;
Fe16GaY2	Fe;Ga;Y;	16;1;2;	444 K;
Fe16MnTm2	Fe;Mn;Tm;	16;1;2;	308.8 K;
Fe16N2	Fe;N;	16;2;	810 K;810 K;
Fe16N3TiY2	Fe;N;Ti;Y;	16;3;1;2;	690 K;
Fe16NSiY2	Fe;N;Si;Y;	16;1;1;2;	643 K;
Fe16SiY2	Fe;Si;Y;	16;1;2;	425 K;406 K;
Fe16TiY2	Fe;Ti;Y;	16;1;2;	390 K;
Fe17Gd0.5Nd1.5	Fe;Gd;Nd;	17;0.5;1.5;	370 K;
Fe17Gd1.5Nd0.5	Fe;Gd;Nd;	17;1.5;0.5;	440 K;
Fe17Gd2	Fe;Gd;	17;2;	472 K;476 K;476 K;470 K;460 K;460 K;476 K;480 K;479 K;468 K;472 K;475 K;470 K;455 K;486 K;475 K;
Fe17Gd2N2.4	Fe;Gd;N;	17;2;2.4;	712 K;
Fe17Gd2N2.7	Fe;Gd;N;	17;2;2.7;	740 K;
Fe17Gd2N3	Fe;Gd;N;	17;2;3;	757 K;
Fe17GdNd	Fe;Gd;Nd;	17;1;1;	410 K;
Fe17Ho2	Fe;Ho;	17;2;	325 K;325 K;325 K;335 K;319 K;325 K;325 K;335 K;325 K;
Fe17Ho2N2.7	Fe;Ho;N;	17;2;2.7;	710 K;
Fe17Ho2N3	Fe;Ho;N;	17;2;3;	708 K;
Fe17Lu2	Fe;Lu;	17;2;	263 K;238 K;100 K;255 K;270 K;268 K;235 K;140 K;
Fe17Lu2N2.7	Fe;Lu;N;	17;2;2.7;	675 K;678 K;
Fe17Lu2N3	Fe;Lu;N;	17;2;3;	679 K;
Fe17N2.1Sm2	Fe;N;Sm;	17;2.1;2;	470 K;
Fe17N2.3Nd2	Fe;N;Nd;	17;2.3;2;	732 K;
Fe17N2.3Sm2	Fe;N;Sm;	17;2.3;2;	749 K;
Fe17N2.3Tb2	Fe;N;Tb;	17;2.3;2;	733 K;
Fe17N2.3Y2	Fe;N;Y;	17;2.3;2;	421 K;
Fe17N2.5Pr2	Fe;N;Pr;	17;2.5;2;	728 K;
Fe17N2.6Y2	Fe;N;Y;	17;2.6;2;	694 K;694 K;
Fe17N2.7Nd2	Fe;N;Nd;	17;2.7;2;	740 K;
Fe17N2.7Pr2	Fe;N;Pr;	17;2.7;2;	720 K;
Fe17N2.7Sm2	Fe;N;Sm;	17;2.7;2;	750 K;
Fe17N2.7Tb2	Fe;N;Tb;	17;2.7;2;	730 K;
Fe17N2.7Tm2	Fe;N;Tm;	17;2.7;2;	690 K;
Fe17N2.7Y2	Fe;N;Y;	17;2.7;2;	690 K;
Fe17N2.7Yb2	Fe;N;Yb;	17;2.7;2;	675 K;
Fe17N2.9Sm2	Fe;N;Sm;	17;2.9;2;	746 K;
Fe17N3Nd2	Fe;N;Nd;	17;3;2;	731 K;
Fe17N3Pr2	Fe;N;Pr;	17;3;2;	729 K;
Fe17N3Sm2	Fe;N;Sm;	17;3;2;	749 K;
Fe17N3Tb2	Fe;N;Tb;	17;3;2;	736 K;
Fe17N3Tm2	Fe;N;Tm;	17;3;2;	692 K;
Fe17NY2	Fe;N;Y;	17;1;2;	690 K;
Fe17Nd0.5Sm1.5	Fe;Nd;Sm;	17;0.5;1.5;	386 K;
Fe17Nd1.5Sm0.5	Fe;Nd;Sm;	17;1.5;0.5;	347 K;
Fe17Nd2	Fe;Nd;	17;2;	325 K;326 K;327 K;327 K;325 K;326 K;327 K;330 K;329 K;327 K;330 K;327 K;330 K;325 K;325 K;
Fe17Nd5	Fe;Nd;	17;5;	503 K;503 K;
Fe17NdSm	Fe;Nd;Sm;	17;1;1;	370 K;
Fe17Pr2	Fe;Pr;	17;2;	286 K;283 K;283 K;282 K;287 K;280 K;289 K;282 K;283 K;283 K;
Fe17PrY	Fe;Pr;Y;	17;1;1;	290 K;
Fe17Sm2	Fe;Sm;	17;2;	389 K;390 K;390 K;399 K;395 K;387 K;399 K;368 K;363 K;387 K;385 K;388 K;116 K;408 K;389 K;395 K;390 K;
Fe17Tb2	Fe;Tb;	17;2;	420 K;408 K;408 K;403 K;408 K;408 K;407 K;402 K;409 K;408 K;
Fe17Th2	Fe;Th;	17;2;	295 K;
Fe17Tm2	Fe;Tm;	17;2;	271 K;275 K;278 K;278.9 K;257 K;232.5 K;278 K;275 K;275 K;232.5 K;271 K;248 K;
Fe17Y2	Fe;Y;	17;2;	324 K;310 K;333 K;337 K;358 K;319 K;324 K;302.5 K;324 K;310 K;310 K;52 K;300 K;328 K;300 K;332 K;301 K;320 K;302 K;300 K;322 K;338 K;
Fe17Yb2	Fe;Yb;	17;2;	255 K;280 K;280 K;
Fe2.05Mn0.63O4Zn0.37	Fe;Mn;O;Zn;	2.05;0.63;4;0.37;	423 K;
Fe2.1Mn0.9P	Fe;Mn;P;	2.1;0.9;1;	400 K;
Fe2.1Mn0.9P0.5Si0.5	Fe;Mn;P;Si;	2.1;0.9;0.5;0.5;	164 K;
Fe2.1Mn0.9Si	Fe;Mn;Si;	2.1;0.9;1;	281 K;281 K;
Fe2.2Mn0.8P	Fe;Mn;P;	2.2;0.8;1;	400 K;
Fe2.2Mn0.8P0.5Si0.5	Fe;Mn;P;Si;	2.2;0.8;0.5;0.5;	221 K;
Fe2.2Mn0.8Si	Fe;Mn;Si;	2.2;0.8;1;	342 K;342 K;
Fe2.3Mn0.7P	Fe;Mn;P;	2.3;0.7;1;	413 K;
Fe2.3Mn0.7Si	Fe;Mn;Si;	2.3;0.7;1;	387 K;387 K;
Fe2.4Mn0.6P	Fe;Mn;P;	2.4;0.6;1;	420 K;
Fe2.4Mn0.6Si	Fe;Mn;Si;	2.4;0.6;1;	397 K;397 K;
Fe2.5Li0.5O4	Fe;Li;O;	2.5;0.5;4;	893 K;943 K;
Fe2.5Mn0.5P	Fe;Mn;P;	2.5;0.5;1;	473 K;
Fe2.5Mn0.5P0.2Si0.8	Fe;Mn;P;Si;	2.5;0.5;0.2;0.8;	657 K;657 K;
Fe2.5Mn0.5P0.5Si0.5	Fe;Mn;P;Si;	2.5;0.5;0.5;0.5;	667 K;
Fe2.5Mn0.5P0.8Si0.2	Fe;Mn;P;Si;	2.5;0.5;0.8;0.2;	523 K;
Fe2.5Mn0.5Sb0.05Sn0.95	Fe;Mn;Sb;Sn;	2.5;0.5;0.05;0.95;	645 K;
Fe2.5Mn0.5Si	Fe;Mn;Si;	2.5;0.5;1;	547 K;547 K;
Fe2.69GeTe2	Fe;Ge;Te;	2.69;1;2;	140 K;
Fe2.78GeTe2	Fe;Ge;Te;	2.78;1;2;	154 K;
Fe2.87GeTe2	Fe;Ge;Te;	2.87;1;2;	203 K;
Fe2.92GeTe2	Fe;Ge;Te;	2.92;1;2;	220 K;
Fe2.96GeTe2	Fe;Ge;Te;	2.96;1;2;	226 K;
Fe2.97GeTe2	Fe;Ge;Te;	2.97;1;2;	232 K;
Fe23Gd6	Fe;Gd;	23;6;	659 K;659 K;659 K;659 K;
Fe23H14Tm6	Fe;H;Tm;	23;14;6;	550 K;
Fe23Ho6	Fe;Ho;	23;6;	501 K;510 K;530 K;501 K;501 K;509 K;510 K;510 K;
Fe23Lu6	Fe;Lu;	23;6;	481 K;491 K;494 K;485 K;
Fe23Tb6	Fe;Tb;	23;6;	574 K;574 K;577 K;574 K;
Fe23Tm6	Fe;Tm;	23;6;	475 K;483 K;475 K;443 K;
Fe23Y6	Fe;Y;	23;6;	480 K;485 K;485 K;483 K;471 K;484 K;478 K;481 K;485 K;477 K;484 K;464 K;
Fe23Yb6	Fe;Yb;	23;6;	481 K;480 K;
Fe24Ti5Y3	Fe;Ti;Y;	24;5;3;	493 K;
Fe25Ti4Y3	Fe;Ti;Y;	25;4;3;	501 K;
Fe26.7N4Sm3V2.3	Fe;N;Sm;V;	26.7;4;3;2.3;	683 K;
Fe26.7Sm3V2.3	Fe;Sm;V;	26.7;3;2.3;	502 K;
Fe26Ti3Y3	Fe;Ti;Y;	26;3;3;	504 K;
Fe27.1N4Sm3Ti1.9	Fe;N;Sm;Ti;	27.1;4;3;1.9;	750 K;
Fe27.1Sm3Ti1.9	Fe;Sm;Ti;	27.1;3;1.9;	486 K;
Fe27.6N5.4Pr3Ti1.4	Fe;N;Pr;Ti;	27.6;5.4;3;1.4;	700 K;
Fe27.6Pr3Ti1.4	Fe;Pr;Ti;	27.6;3;1.4;	373 K;
Fe27.9N4.7Nd3Ti1.1	Fe;N;Nd;Ti;	27.9;4.7;3;1.1;	725 K;
Fe27.9Nd3Ti1.1	Fe;Nd;Ti;	27.9;3;1.1;	396 K;
Fe27Gd3Ti2	Fe;Gd;Ti;	27;3;2;	518 K;
Fe27Gd3V2	Fe;Gd;V;	27;3;2;	523 K;
Fe27Ti2Y3	Fe;Ti;Y;	27;2;3;	398 K;511 K;
Fe27V2Y3	Fe;V;Y;	27;2;3;	431 K;
Fe28Gd3Ta	Fe;Gd;Ta;	28;3;1;	515 K;
Fe28Gd3Ti	Fe;Gd;Ti;	28;3;1;	506 K;
Fe28Gd3V	Fe;Gd;V;	28;3;1;	508 K;
Fe28TaTb3	Fe;Ta;Tb;	28;1;3;	447 K;
Fe28TaY3	Fe;Ta;Y;	28;1;3;	398 K;
Fe28TiY3	Fe;Ti;Y;	28;1;3;	375 K;514 K;
Fe28VY3	Fe;V;Y;	28;1;3;	408 K;
Fe2GaMn	Fe;Ga;Mn;	2;1;1;	750 K;
Fe2GaNi	Fe;Ga;Ni;	2;1;1;	785 K;845 K;
Fe2Gd	Fe;Gd;	2;1;	810 K;796 K;789 K;790 K;800 K;798 K;785 K;793 K;788 K;895 K;793 K;810 K;810 K;785 K;820 K;
Fe2GdZn20	Fe;Gd;Zn;	2;1;20;	85 K;86 K;
Fe2GeNi	Fe;Ge;Ni;	2;1;1;	750 K;685 K;
Fe2Hf	Fe;Hf;	2;1;	600 K;625 K;591 K;595 K;
Fe2Ho	Fe;Ho;	2;1;	612 K;603 K;574 K;614 K;594 K;603 K;593 K;608 K;597 K;
Fe2Lu	Fe;Lu;	2;1;	589 K;610 K;562 K;583 K;596 K;580 K;
Fe2Mg0.2Ni0.8O4	Fe;Mg;Ni;O;	2;0.2;0.8;4;	550 K;
Fe2Mg0.4Ni0.6O4	Fe;Mg;Ni;O;	2;0.4;0.6;4;	535 K;
Fe2Mg0.5Ni0.5O4	Fe;Mg;Ni;O;	2;0.5;0.5;4;	505 K;
Fe2Mg0.6Ni0.4O4	Fe;Mg;Ni;O;	2;0.6;0.4;4;	445 K;
Fe2Mg0.8Ni0.2O4	Fe;Mg;Ni;O;	2;0.8;0.2;4;	410 K;
Fe2MgO4	Fe;Mg;O;	2;1;4;	460 K;365 K;710 K;440 K;
Fe2Mn0.25O4Sn0.75	Fe;Mn;O;Sn;	2;0.25;4;0.75;	780 K;
Fe2Mn0.2O4Zn0.8	Fe;Mn;O;Zn;	2;0.2;4;0.8;	228 K;
Fe2Mn0.5O4Sn0.5	Fe;Mn;O;Sn;	2;0.5;4;0.5;	790 K;680 K;
Fe2Mn0.6O4Zn0.4	Fe;Mn;O;Zn;	2;0.6;4;0.4;	414 K;
Fe2Mn0.75O4Sn0.25	Fe;Mn;O;Sn;	2;0.75;4;0.25;	675 K;
Fe2Mn0.9O4Zn0.1	Fe;Mn;O;Zn;	2;0.9;4;0.1;	533 K;
Fe2MnO4	Fe;Mn;O;	2;1;4;	577 K;563 K;610 K;
Fe2MnP0.2Si0.8	Fe;Mn;P;Si;	2;1;0.2;0.8;	173 K;173 K;
Fe2MnP0.4Si0.6	Fe;Mn;P;Si;	2;1;0.4;0.6;	111 K;
Fe2MnP0.5Si0.5	Fe;Mn;P;Si;	2;1;0.5;0.5;	127 K;
Fe2MnSi	Fe;Mn;Si;	2;1;1;	233 K;233 K;250 K;
Fe2N	Fe;N;	2;1;	9 K;7 K;
Fe2Nd	Fe;Nd;	2;1;	578 K;578 K;328 K;530 K;
Fe2Ni0.5O4Zn0.5	Fe;Ni;O;Zn;	2;0.5;4;0.5;	295.2 K;553.5 K;729.5 K;
Fe2NiO4	Fe;Ni;O;	2;1;4;	570 K;860 K;603 K;865 K;345 K;
Fe2NiP	Fe;Ni;P;	2;1;1;	430 K;
Fe2NiSe4	Fe;Ni;Se;	2;1;4;	120 K;
Fe2NiSi	Fe;Ni;Si;	2;1;1;	755 K;
Fe2Np	Fe;Np;	2;1;	500 K;500 K;
Fe2O3	Fe;O;	2;3;	1003 K;845.5 K;975 K;
Fe2O4Zn	Fe;O;Zn;	2;4;1;	763.5 K;
Fe2P	Fe;P;	2;1;	223 K;213 K;226 K;216 K;224 K;306 K;205 K;210 K;306 K;266 K;216 K;208.6 K;223 K;170 K;208.6 K;288 K;266 K;195 K;214.5 K;
Fe2Pr	Fe;Pr;	2;1;	543 K;525 K;501 K;
Fe2PuSi2	Fe;Pu;Si;	2;1;2;	38 K;38 K;
Fe2Sc	Fe;Sc;	2;1;	540 K;545 K;542 K;542 K;
Fe2Se4Ti	Fe;Se;Ti;	2;4;1;	270 K;
Fe2Se4V	Fe;Se;V;	2;4;1;	165 K;
Fe2Si	Fe;Si;	2;1;	540 K;
