wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Co16La2Mn	Co;La;Mn;	16;2;1;	1010 K;
Co16La2Mo	Co;La;Mo;	16;2;1;	902 K;613 K;
Co16La2Ti	Co;La;Ti;	16;2;1;	914 K;914 K;914 K;
Co16La2V	Co;La;V;	16;2;1;	880 K;
Co16Lu2Si	Co;Lu;Si;	16;2;1;	1035 K;
Co16MnNd2	Co;Mn;Nd;	16;1;2;	1081 K;
Co16MnPr2	Co;Mn;Pr;	16;1;2;	1113 K;
Co16MnSm2	Co;Mn;Sm;	16;1;2;	1085 K;
Co16MnTb2	Co;Mn;Tb;	16;1;2;	1164 K;
Co16MoY2	Co;Mo;Y;	16;1;2;	995 K;
Co16Nd2Ti	Co;Nd;Ti;	16;2;1;	955 K;
Co16Pr2Si	Co;Pr;Si;	16;2;1;	986 K;
Co16RuY2	Co;Ru;Y;	16;1;2;	1050 K;
Co16SiY2	Co;Si;Y;	16;1;2;	1019 K;
Co16Sm2Ti	Co;Sm;Ti;	16;2;1;	959 K;
Co16Sm2Zr	Co;Sm;Zr;	16;2;1;	1097 K;
Co16TiY2	Co;Ti;Y;	16;1;2;	1067 K;
Co16VY2	Co;V;Y;	16;1;2;	1092 K;
Co17Dy2	Co;Dy;	17;2;	1165 K;1183 K;1152 K;1166 K;1152 K;
Co17Er0.4Pr1.6	Co;Er;Pr;	17;0.4;1.6;	1140 K;
Co17Er0.8Pr1.2	Co;Er;Pr;	17;0.8;1.2;	1160 K;
Co17Er1.2Pr0.8	Co;Er;Pr;	17;1.2;0.8;	1173 K;
Co17Er1.6Pr0.4	Co;Er;Pr;	17;1.6;0.4;	1183 K;
Co17Er2	Co;Er;	17;2;	1193 K;1160 K;1160 K;1180 K;1199 K;1187 K;1184 K;1199 K;
Co17Gd2	Co;Gd;	17;2;	1235 K;1142 K;1209 K;1220 K;1210 K;1210 K;1220 K;1166 K;1150 K;1218 K;1209 K;1217 K;
Co17Ho2	Co;Ho;	17;2;	1180 K;1192 K;1173 K;1173 K;1177 K;1173 K;
Co17Lu2	Co;Lu;	17;2;	1192 K;1175 K;1210 K;1210 K;1196 K;1192 K;
Co17N2.7Sm2	Co;N;Sm;	17;2.7;2;	811 K;
Co17Nd2	Co;Nd;	17;2;	1150 K;1181 K;1155 K;1157 K;
Co17Pr0.4Yb1.6	Co;Pr;Yb;	17;0.4;1.6;	1184 K;
Co17Pr0.8Yb1.2	Co;Pr;Yb;	17;0.8;1.2;	1179 K;
Co17Pr1.2Yb0.8	Co;Pr;Yb;	17;1.2;0.8;	1177 K;
Co17Pr1.6Yb0.4	Co;Pr;Yb;	17;1.6;0.4;	1169 K;
Co17Pr2	Co;Pr;	17;2;	1171 K;1168 K;1177 K;1170 K;1171 K;1183 K;1168 K;1151 K;
Co17Sm2	Co;Sm;	17;2;	1190 K;1203 K;1192 K;1196 K;1190 K;1190 K;1203 K;1189 K;1190 K;920 K;1194 K;1192 K;1195 K;
Co17Tb2	Co;Tb;	17;2;	1180 K;1185 K;1185 K;1207 K;1185 K;
Co17Th2	Co;Th;	17;2;	1035 K;
Co17Tm2	Co;Tm;	17;2;	1180 K;1175 K;1182 K;1181 K;1185 K;
Co17Y2	Co;Y;	17;2;	1167 K;1183 K;1202 K;1179 K;1185 K;1186 K;1185 K;1167 K;1167 K;1186 K;1167 K;1202 K;1167 K;1213 K;
Co17Yb2	Co;Yb;	17;2;	1184 K;1168 K;1180 K;1184 K;
Co18.8Cr5.5Fe4.7Y3	Co;Cr;Fe;Y;	18.8;5.5;4.7;3;	567 K;
Co19La5	Co;La;	19;5;	616 K;616 K;
Co19Nd5	Co;Nd;	19;5;	714 K;714 K;714 K;
Co19Pr5	Co;Pr;	19;5;	690 K;690 K;698 K;690 K;
Co19Sm5	Co;Sm;	19;5;	783 K;
Co19Y5	Co;Y;	19;5;	721 K;
Co2.25Fe0.75Y	Co;Fe;Y;	2.25;0.75;1;	589 K;
Co2.2Mn0.8O4	Co;Mn;O;	2.2;0.8;4;	188 K;
Co2.3Mo3NaO12	Co;Mo;Na;O;	2.3;3;1;12;	27 K;
Co2.4Fe0.6Y	Co;Fe;Y;	2.4;0.6;1;	568 K;
Co2.4Fe2.4Ga7.2Pr	Co;Fe;Ga;Pr;	2.4;2.4;7.2;1;	160 K;
Co2.51Gd2Si0.49	Co;Gd;Si;	2.51;2;0.49;	287 K;
Co2.52Gd2.05Si0.48	Co;Gd;Si;	2.52;2.05;0.48;	284 K;
Co2.54Gd2Si0.46	Co;Gd;Si;	2.54;2;0.46;	288 K;
Co2.55Fe0.45Y	Co;Fe;Y;	2.55;0.45;1;	533 K;
Co2.55Gd2Si0.45	Co;Gd;Si;	2.55;2;0.45;	327 K;
Co2.55Si0.4Sm2.05	Co;Si;Sm;	2.55;0.4;2.05;	267 K;
Co2.56Gd2Si0.44	Co;Gd;Si;	2.56;2;0.44;	303 K;
Co2.57Gd2Si0.43	Co;Gd;Si;	2.57;2;0.43;	315 K;
Co2.5DyFe1.5Ga	Co;Dy;Fe;Ga;	2.5;1;1.5;1;	673 K;
Co2.5Fe0.5S2Sn2	Co;Fe;S;Sn;	2.5;0.5;2;2;	101 K;
Co2.5Gd2Si0.5	Co;Gd;Si;	2.5;2;0.5;	280 K;
Co2.61Fe0.39S2Sn2	Co;Fe;S;Sn;	2.61;0.39;2;2;	121 K;
Co2.61Gd2Si0.39	Co;Gd;Si;	2.61;2;0.39;	327 K;
Co2.68Fe0.32S2Sn2	Co;Fe;S;Sn;	2.68;0.32;2;2;	136 K;
Co2.71Gd2Si0.29	Co;Gd;Si;	2.71;2;0.29;	338 K;
Co2.72Fe10.88Si3.4U2	Co;Fe;Si;U;	2.72;10.88;3.4;2;	562 K;
Co2.799Fe0.201Y	Co;Fe;Y;	2.799;0.201;1;	429 K;
Co2.7Fe0.3Y	Co;Fe;Y;	2.7;0.3;1;	478 K;
Co2.7Nd2Si0.3	Co;Nd;Si;	2.7;2;0.3;	159 K;
Co2.86Fe0.14S2Sn2	Co;Fe;S;Sn;	2.86;0.14;2;2;	156 K;
Co2.898Fe0.102Y	Co;Fe;Y;	2.898;0.102;1;	390 K;
Co2.8Pr2Si0.2	Co;Pr;Si;	2.8;2;0.2;	64 K;
